date,region,price_usd_ton,construction_index,rain_mm,marketing_spend,demand_tons
2022-01-01,Costa,107.48,98.62,233.0,55.9,15078.0
2022-02-01,Costa,103.83,115.79,55.1,78.2,19881.0
2022-03-01,Costa,102.65,105.43,95.5,31.0,13842.0
2022-04-01,Costa,95.43,82.75,203.0,28.4,11217.0
2022-05-01,Costa,100.46,85.88,164.0,67.1,15781.0
2022-06-01,Costa,97.88,94.56,201.9,30.2,12923.0
2022-07-01,Costa,102.0,97.08,221.1,46.4,14448.0
2022-08-01,Costa,99.71,108.23,127.9,51.2,14731.0
2022-09-01,Costa,98.36,101.97,292.4,66.5,17725.0
2022-10-01,Costa,105.86,98.84,147.2,36.3,13156.0
2022-11-01,Costa,102.7,110.57,120.2,52.6,16482.0
2022-12-01,Costa,103.07,93.23,51.4,68.9,17025.0
2023-01-01,Costa,110.15,109.31,242.8,24.4,12071.0
2023-02-01,Costa,103.45,103.31,132.7,23.8,13644.0
2023-03-01,Costa,99.47,88.04,232.4,58.3,14948.0
2023-04-01,Costa,110.02,103.62,240.2,53.7,14739.0
2023-05-01,Costa,104.82,115.65,180.7,45.7,15857.0
2023-06-01,Costa,103.5,100.92,276.9,35.0,11558.0
2023-07-01,Costa,112.39,94.82,107.2,24.6,10911.0
2023-08-01,Costa,102.49,109.15,250.9,31.2,14206.0
2023-09-01,Costa,105.49,109.69,251.9,73.8,17354.0
2023-10-01,Costa,103.36,96.08,254.5,71.6,15376.0
2023-11-01,Costa,105.03,97.65,154.4,33.3,12755.0
2023-12-01,Costa,100.99,98.39,179.7,62.2,16600.0
2024-01-01,Costa,106.29,99.26,290.6,35.1,11394.0
2024-02-01,Costa,104.87,100.6,62.9,36.7,16170.0
2024-03-01,Costa,104.04,103.02,86.2,49.4,16333.0
2024-04-01,Costa,108.76,107.91,141.9,57.9,15324.0
2024-05-01,Costa,107.93,121.9,72.6,70.1,17634.0
2024-06-01,Costa,102.17,101.0,219.4,21.0,11723.0
2024-07-01,Costa,97.25,100.69,211.3,30.5,12428.0
2024-08-01,Costa,112.75,92.17,281.2,72.6,15921.0
2024-09-01,Costa,109.07,87.69,254.3,53.3,12500.0
2024-10-01,Costa,105.92,102.6,134.8,41.0,15008.0
2024-11-01,Costa,107.61,102.97,271.8,66.8,16051.0
2024-12-01,Costa,106.16,102.93,51.3,29.6,12423.0
2022-01-01,Sierra,114.33,104.74,213.0,33.5,12313.0
2022-02-01,Sierra,108.94,111.59,212.4,71.0,16980.0
2022-03-01,Sierra,109.11,118.97,73.4,42.1,14648.0
2022-04-01,Sierra,100.92,99.23,273.0,57.9,16148.0
2022-05-01,Sierra,105.07,114.54,194.2,49.6,16683.0
2022-06-01,Sierra,100.71,89.29,285.1,77.2,17435.0
2022-07-01,Sierra,103.88,107.14,53.9,75.7,18643.0
2022-08-01,Sierra,104.64,91.53,262.8,39.0,11645.0
2022-09-01,Sierra,106.07,87.54,284.0,61.8,14168.0
2022-10-01,Sierra,105.77,100.58,269.3,64.4,15237.0
2022-11-01,Sierra,110.42,110.54,139.9,37.6,14861.0
2022-12-01,Sierra,107.57,105.15,249.6,59.0,19987.0
