date,plant_id,production_tons,kiln_temperature,maintenance,humidity_pct,fuel_type,energy_mwh
2024-01-01,PLT01,3006.1,1497.0,0,62.4,carbon,2808.8
2024-01-02,PLT01,2804.4,1464.0,0,52.8,carbon,2447.9
2024-01-03,PLT01,2777.9,1522.7,0,84.4,gas,2077.9
2024-01-04,PLT01,2428.5,1463.5,0,48.4,carbon,1808.6
2024-01-05,PLT01,2514.6,1454.2,0,84.2,carbon,2064.9
2024-01-06,PLT01,2474.5,1480.9,0,47.7,gas,1816.1
2024-01-07,PLT01,2529.8,1493.8,0,52.6,gas,1763.2
2024-01-08,PLT01,2199.4,1482.0,0,45.2,gas,1164.2
2024-01-09,PLT01,2691.6,1433.5,0,61.7,gas,1835.1
2024-01-10,PLT01,2377.8,1460.0,0,74.2,gas,1817.2
2024-01-11,PLT01,1758.5,1455.1,0,81.8,alternativo,1565.8
2024-01-12,PLT01,2526.8,1487.2,0,46.3,gas,2060.2
2024-01-13,PLT01,2353.7,1464.2,0,76.7,gas,1366.8
2024-01-14,PLT01,2608.2,1468.2,0,59.8,carbon,2214.9
2024-01-15,PLT01,1938.8,1466.2,0,62.6,carbon,1501.5
2024-01-16,PLT01,2746.9,1497.3,0,45.3,alternativo,2454.2
2024-01-17,PLT01,2056.4,1503.6,0,75.7,gas,1706.3
2024-01-18,PLT01,2524.6,1462.8,0,51.2,gas,1840.7
2024-01-19,PLT01,2521.5,1463.1,0,79.5,carbon,2215.5
2024-01-20,PLT01,2366.6,1464.3,0,72.4,gas,1618.3
2024-01-21,PLT01,2624.0,1521.9,0,55.6,carbon,2212.0
2024-01-22,PLT01,2750.7,1452.7,1,46.9,gas,1167.6
2024-01-23,PLT01,3233.7,1478.2,0,79.2,alternativo,3148.3
2024-01-24,PLT01,2677.1,1480.4,0,65.9,gas,2013.6
2024-01-25,PLT01,2978.0,1462.2,1,81.7,carbon,2370.1
2024-01-26,PLT01,2657.2,1460.3,0,76.1,carbon,2100.5
2024-01-27,PLT01,2196.4,1433.6,0,81.4,carbon,1897.0
2024-01-28,PLT01,2254.5,1437.4,0,46.3,carbon,1668.8
2024-01-29,PLT01,1690.9,1473.6,0,56.3,gas,1056.6
2024-01-30,PLT01,2655.0,1455.0,1,62.6,gas,1450.9
2024-01-31,PLT01,2504.2,1474.4,0,80.4,carbon,2418.2
2024-02-01,PLT01,2167.9,1509.7,0,58.0,gas,1228.4
2024-02-02,PLT01,2397.2,1465.7,0,82.6,carbon,2058.0
2024-02-03,PLT01,2102.0,1466.0,0,72.2,gas,1503.3
2024-02-04,PLT01,2716.5,1446.8,0,44.7,gas,1951.5
2024-02-05,PLT01,2184.0,1466.2,0,72.5,alternativo,1888.8
2024-02-06,PLT01,2391.7,1504.0,0,49.2,carbon,1704.7
2024-02-07,PLT01,3029.4,1444.0,0,66.6,carbon,2248.8
2024-02-08,PLT01,2115.9,1518.9,0,59.6,carbon,1925.6
2024-02-09,PLT01,2490.7,1466.6,0,52.1,gas,1966.6
2024-02-10,PLT01,2095.5,1493.6,0,77.6,alternativo,1714.3
2024-02-11,PLT01,2530.2,1434.3,0,69.3,alternativo,2241.9
2024-02-12,PLT01,2576.8,1499.6,0,69.9,carbon,2101.8
2024-02-13,PLT01,2742.0,1484.6,0,47.5,gas,1619.2
2024-02-14,PLT01,2556.0,1456.1,0,57.5,carbon,2204.5
2024-02-15,PLT01,2234.9,1489.3,0,69.9,alternativo,1747.1
2024-02-16,PLT01,2242.5,1492.5,0,51.8,gas,1636.5
2024-02-17,PLT01,2302.4,1432.8,0,44.8,carbon,1882.7
2024-02-18,PLT01,2489.5,1519.3,0,59.6,carbon,2154.5
2024-02-19,PLT01,2659.8,1447.8,0,56.2,carbon,2207.2
2024-02-20,PLT01,2477.7,1490.5,0,64.4,alternativo,2340.5
2024-02-21,PLT01,2685.6,1507.2,0,51.2,carbon,2359.0
2024-02-22,PLT01,2628.9,1480.2,0,65.6,alternativo,2399.1
2024-02-23,PLT01,2436.0,1503.2,0,54.4,alternativo,2179.6
2024-02-24,PLT01,2528.8,1463.4,0,45.4,carbon,1821.7
2024-02-25,PLT01,2883.4,1468.5,0,64.3,gas,2089.6
2024-02-26,PLT01,2809.6,1437.9,0,67.7,carbon,2291.9
2024-02-27,PLT01,2514.1,1505.6,0,61.6,gas,1771.2
2024-02-28,PLT01,2366.3,1511.3,0,73.2,carbon,1940.5
2024-02-29,PLT01,2258.6,1449.8,0,41.9,carbon,1571.7
2024-03-01,PLT01,2489.6,1480.9,0,70.6,carbon,1994.4
2024-03-02,PLT01,2252.3,1532.7,0,84.6,carbon,1854.7
2024-03-03,PLT01,2549.9,1487.3,0,63.1,carbon,1991.5
2024-03-04,PLT01,2320.3,1488.9,0,42.6,alternativo,1950.1
2024-03-05,PLT01,2926.2,1460.7,0,46.9,alternativo,2421.1
2024-03-06,PLT01,2288.9,1533.9,0,44.1,alternativo,2249.0
2024-03-07,PLT01,2316.2,1465.3,0,83.0,alternativo,2134.9
2024-03-08,PLT01,2825.1,1453.7,0,56.8,carbon,2228.4
2024-03-09,PLT01,2490.1,1519.9,0,49.9,gas,1345.3
2024-03-10,PLT01,2238.9,1505.1,0,70.5,gas,1739.5
2024-03-11,PLT01,2675.2,1466.0,0,69.6,alternativo,2411.5
2024-03-12,PLT01,2714.5,1487.6,0,67.8,gas,2119.9
2024-03-13,PLT01,2449.9,1478.7,0,73.5,carbon,2050.2
2024-03-14,PLT01,2620.1,1469.4,0,67.8,alternativo,2306.6
2024-03-15,PLT01,2092.0,1493.7,0,64.3,gas,1590.0
2024-03-16,PLT01,2379.6,1488.5,0,68.5,alternativo,2140.8
2024-03-17,PLT01,2366.1,1479.9,0,71.9,carbon,1648.9
2024-03-18,PLT01,2789.5,1463.0,0,83.8,alternativo,2485.6
2024-03-19,PLT01,2332.3,1484.4,0,41.1,carbon,1836.7
2024-03-20,PLT01,1889.4,1493.3,0,52.3,alternativo,1849.8
2024-03-21,PLT01,2065.6,1420.0,0,75.8,gas,1569.2
2024-03-22,PLT01,2893.2,1469.4,1,58.9,gas,1498.2
2024-03-23,PLT01,2042.3,1457.7,1,58.4,alternativo,1253.7
2024-03-24,PLT01,2299.3,1476.9,0,78.9,carbon,1837.1
2024-03-25,PLT01,2602.8,1486.4,0,78.0,gas,1782.2
2024-03-26,PLT01,2597.0,1506.2,0,45.3,carbon,2191.7
2024-03-27,PLT01,2297.1,1520.0,0,62.1,carbon,1692.2
2024-03-28,PLT01,2669.4,1459.1,0,40.5,carbon,2223.9
2024-03-29,PLT01,2364.3,1414.4,0,53.1,gas,1626.6
2024-03-30,PLT01,2643.7,1474.4,0,50.9,alternativo,2225.9
2024-03-31,PLT01,2498.9,1446.0,0,71.6,gas,1627.3
2024-04-01,PLT01,2511.3,1468.3,0,57.9,carbon,1979.5
2024-04-02,PLT01,3039.3,1491.0,0,49.0,carbon,2488.3
2024-04-03,PLT01,2260.4,1520.3,0,72.1,alternativo,2151.7
2024-04-04,PLT01,2814.9,1461.6,0,80.3,gas,2000.6
2024-04-05,PLT01,2895.2,1485.0,0,43.7,carbon,2639.1
2024-04-06,PLT01,2304.6,1462.9,0,49.9,alternativo,1833.9
2024-04-07,PLT01,2341.2,1490.5,0,65.0,gas,1893.5
2024-04-08,PLT01,2511.4,1478.0,0,70.6,carbon,2194.7
2024-04-09,PLT01,2466.8,1498.3,0,55.6,carbon,2144.4
2024-04-10,PLT01,2567.3,1501.2,0,72.6,carbon,1880.2
2024-04-11,PLT01,2328.2,1495.0,0,68.0,gas,1755.2
2024-04-12,PLT01,2312.3,1484.9,0,80.9,carbon,1949.6
2024-04-13,PLT01,2412.6,1433.7,0,60.0,gas,1647.0
2024-04-14,PLT01,2844.6,1431.5,0,57.6,alternativo,2533.8
2024-04-15,PLT01,2126.3,1502.7,0,83.6,carbon,1685.7
2024-04-16,PLT01,2523.0,1442.9,0,77.3,carbon,2077.6
2024-04-17,PLT01,2082.4,1454.0,0,41.7,gas,1508.0
2024-04-18,PLT01,2403.5,1526.9,0,76.3,gas,1813.3
2024-04-19,PLT01,2613.9,1466.8,0,63.9,alternativo,2207.1
2024-04-20,PLT01,2719.8,1473.0,0,62.8,carbon,2196.9
2024-04-21,PLT01,2635.8,1471.7,0,62.0,gas,2056.9
2024-04-22,PLT01,2832.5,1449.0,0,70.3,alternativo,2497.5
2024-04-23,PLT01,2304.8,1501.8,0,71.2,alternativo,2074.0
2024-04-24,PLT01,2545.1,1484.1,0,67.8,alternativo,2202.3
2024-04-25,PLT01,2520.2,1479.9,0,49.7,gas,1876.4
2024-04-26,PLT01,2990.0,1446.3,0,69.6,alternativo,2739.1
2024-04-27,PLT01,2424.3,1483.5,0,79.5,carbon,2201.0
2024-04-28,PLT01,2856.8,1444.3,0,74.3,gas,2210.5
2024-04-29,PLT01,2421.6,1478.0,0,54.6,carbon,1780.9
2024-04-30,PLT01,2978.4,1453.8,0,60.2,carbon,2146.6
2024-05-01,PLT01,2319.7,1479.2,0,67.9,carbon,1771.0
2024-05-02,PLT01,2794.5,1466.9,0,61.6,carbon,2048.2
2024-05-03,PLT01,2040.2,1511.1,0,67.4,gas,1278.6
2024-05-04,PLT01,2678.4,1496.3,1,40.8,carbon,1718.7
2024-05-05,PLT01,2617.6,1470.3,0,61.9,carbon,2170.4
2024-05-06,PLT01,2203.4,1447.4,0,64.3,carbon,1941.1
2024-05-07,PLT01,2731.9,1459.9,0,48.2,gas,1681.0
2024-05-08,PLT01,2531.6,1441.6,0,44.8,gas,1942.9
2024-05-09,PLT01,2477.5,1460.5,0,82.8,gas,1798.6
2024-05-10,PLT01,2514.7,1476.0,0,49.5,gas,1969.3
2024-05-11,PLT01,2409.7,1468.1,0,75.1,carbon,2049.4
2024-05-12,PLT01,2411.5,1506.2,0,44.3,gas,2108.5
2024-05-13,PLT01,2128.7,1488.1,0,49.8,carbon,1603.5
2024-05-14,PLT01,2513.1,1471.3,0,64.6,carbon,2229.0
2024-05-15,PLT01,1994.4,1482.9,0,71.3,carbon,1627.9
2024-05-16,PLT01,3003.3,1461.2,0,84.6,carbon,2457.3
2024-05-17,PLT01,2339.8,1434.4,0,43.9,alternativo,2038.1
2024-05-18,PLT01,2325.5,1449.6,0,56.0,carbon,1689.8
2024-05-19,PLT01,2510.0,1459.5,0,79.6,gas,1910.7
2024-05-20,PLT01,1901.9,1484.4,0,70.1,alternativo,1811.8
2024-05-21,PLT01,3084.0,1468.5,0,65.3,alternativo,2967.8
2024-05-22,PLT01,2661.6,1452.0,0,64.1,carbon,2327.0
2024-05-23,PLT01,2408.0,1507.9,0,81.7,carbon,1842.5
2024-05-24,PLT01,2172.3,1467.1,1,81.7,gas,1192.1
2024-05-25,PLT01,2868.1,1456.3,0,45.7,alternativo,2498.9
2024-05-26,PLT01,2712.4,1498.9,0,53.6,carbon,2102.6
2024-05-27,PLT01,2428.3,1477.2,0,57.9,carbon,2050.0
2024-05-28,PLT01,2616.6,1537.3,0,62.4,alternativo,2373.1
2024-05-29,PLT01,2639.2,1464.0,0,79.1,alternativo,2504.1
2024-05-30,PLT01,2299.6,1499.8,0,58.1,carbon,1731.0
2024-05-31,PLT01,2893.9,1476.3,0,46.0,alternativo,2553.7
2024-06-01,PLT01,2492.5,1495.4,0,74.4,carbon,1677.6
2024-06-02,PLT01,2519.2,1465.7,0,41.2,carbon,1819.7
2024-06-03,PLT01,2517.0,1488.2,1,59.5,carbon,1206.0
2024-06-04,PLT01,2588.0,1482.1,0,67.9,gas,1770.3
2024-06-05,PLT01,2436.0,1512.3,0,84.8,carbon,1975.9
2024-06-06,PLT01,2376.7,1465.8,0,71.1,carbon,1793.7
2024-06-07,PLT01,2548.2,1475.1,0,67.7,carbon,2125.1
2024-06-08,PLT01,3186.6,1448.9,0,60.2,carbon,2466.1
2024-06-09,PLT01,2149.0,1430.0,0,73.0,gas,1472.2
2024-06-10,PLT01,2447.7,1465.2,0,74.2,carbon,1957.6
2024-06-11,PLT01,2056.3,1479.6,0,50.9,alternativo,1655.9
2024-06-12,PLT01,2490.7,1426.0,0,44.4,carbon,2180.3
2024-06-13,PLT01,2367.0,1452.9,0,61.4,carbon,1720.3
2024-06-14,PLT01,1817.1,1482.1,1,75.4,carbon,1122.1
2024-06-15,PLT01,2318.3,1520.7,0,77.8,carbon,1959.5
2024-06-16,PLT01,2776.4,1510.3,0,68.7,gas,2264.7
2024-06-17,PLT01,2509.6,1456.2,0,73.2,gas,1754.7
2024-06-18,PLT01,2527.0,1480.9,0,43.2,carbon,1940.0
2024-06-19,PLT01,2095.9,1450.7,0,74.9,gas,1415.0
2024-06-20,PLT01,2369.2,1482.1,0,51.9,carbon,1791.2
2024-06-21,PLT01,2798.8,1456.1,0,57.2,carbon,2239.2
2024-06-22,PLT01,2222.3,1491.0,0,41.9,alternativo,2144.2
2024-06-23,PLT01,2306.9,1498.2,1,67.1,gas,1429.9
2024-06-24,PLT01,2678.0,1453.7,0,81.8,carbon,2186.3
2024-06-25,PLT01,2186.6,1425.8,0,67.6,alternativo,1764.7
2024-06-26,PLT01,2400.6,1480.3,0,52.9,alternativo,2087.6
2024-06-27,PLT01,2449.9,1482.1,0,60.7,alternativo,2304.4
2024-06-28,PLT01,2720.3,1449.0,0,84.3,alternativo,2453.9
2024-06-29,PLT01,2619.9,1458.7,0,49.6,gas,1912.3
2024-06-30,PLT01,2717.1,1532.5,0,53.4,gas,2222.7
2024-07-01,PLT01,2726.0,1484.5,0,74.3,carbon,2183.7
2024-07-02,PLT01,2494.1,1495.7,1,44.5,carbon,1474.4
2024-07-03,PLT01,2325.8,1489.7,0,73.0,gas,1646.3
2024-07-04,PLT01,2166.9,1481.9,0,74.2,carbon,1987.0
2024-07-05,PLT01,2264.5,1491.2,1,56.6,carbon,1370.7
2024-07-06,PLT01,2253.9,1454.6,0,79.9,gas,1297.6
2024-07-07,PLT01,2074.5,1431.0,0,40.1,gas,1550.8
2024-07-08,PLT01,2328.1,1479.5,0,68.9,carbon,1759.5
2024-07-09,PLT01,2962.6,1525.2,0,67.2,gas,2150.4
2024-07-10,PLT01,2748.4,1474.8,0,42.6,carbon,2369.1
2024-07-11,PLT01,2708.9,1498.9,0,63.3,carbon,2155.0
2024-07-12,PLT01,2234.2,1453.9,0,66.9,gas,1556.5
2024-07-13,PLT01,2192.7,1521.4,0,75.4,carbon,2042.0
2024-07-14,PLT01,2408.7,1505.0,0,48.3,carbon,1678.8
2024-07-15,PLT01,2542.3,1430.8,0,82.3,carbon,2133.8
2024-07-16,PLT01,2441.5,1465.8,0,60.6,carbon,1996.0
2024-07-17,PLT01,2491.7,1519.3,0,72.8,gas,1955.1
2024-07-18,PLT01,2170.6,1484.9,0,83.0,carbon,1704.8
2024-07-19,PLT01,2470.0,1469.9,0,51.1,alternativo,2024.0
2024-07-20,PLT01,2223.2,1467.4,0,42.9,carbon,1973.0
2024-07-21,PLT01,1772.7,1497.1,0,80.5,carbon,1530.2
2024-07-22,PLT01,2526.2,1492.6,0,58.8,carbon,2068.9
2024-07-23,PLT01,2738.3,1443.6,0,65.4,carbon,2148.1
2024-07-24,PLT01,2604.4,1454.8,0,50.1,carbon,1981.0
2024-07-25,PLT01,2560.2,1503.7,0,45.2,alternativo,2243.8
2024-07-26,PLT01,2545.7,1484.5,0,60.6,carbon,2328.2
2024-07-27,PLT01,2631.0,1497.6,0,58.5,gas,1830.7
2024-07-28,PLT01,2522.1,1509.9,0,42.3,gas,1867.9
2024-07-29,PLT01,2306.2,1455.0,0,54.9,gas,1395.9
2024-07-30,PLT01,2528.5,1466.0,0,84.3,gas,1915.7
2024-07-31,PLT01,2764.9,1473.1,0,62.4,carbon,2367.4
2024-08-01,PLT01,2651.6,1507.7,1,49.2,gas,1473.2
2024-08-02,PLT01,2775.8,1458.3,0,68.6,gas,2092.8
2024-08-03,PLT01,2442.5,1444.5,0,75.7,carbon,1934.2
2024-08-04,PLT01,2399.6,1464.9,0,80.2,gas,1707.9
2024-08-05,PLT01,2151.0,1456.6,0,76.2,gas,1566.8
2024-08-06,PLT01,2476.1,1486.3,1,70.1,gas,1242.1
2024-08-07,PLT01,2423.4,1475.8,0,72.4,alternativo,2112.8
2024-08-08,PLT01,2558.3,1466.2,0,78.6,alternativo,2532.8
2024-08-09,PLT01,2605.2,1467.4,0,60.7,carbon,1776.7
2024-08-10,PLT01,2889.1,1474.4,0,47.8,gas,1975.9
2024-08-11,PLT01,2376.8,1458.4,0,69.3,gas,1387.7
2024-08-12,PLT01,2799.5,1464.2,0,84.1,gas,2086.0
2024-08-13,PLT01,2263.0,1504.9,0,47.9,alternativo,1864.8
2024-08-14,PLT01,2676.0,1463.1,0,68.9,gas,1626.0
2024-08-15,PLT01,2537.8,1500.7,1,79.2,gas,1309.9
2024-08-16,PLT01,2690.4,1502.7,0,80.8,gas,1878.9
2024-08-17,PLT01,2545.0,1432.4,0,64.6,carbon,1616.1
2024-08-18,PLT01,2339.4,1472.7,0,81.3,carbon,1833.7
2024-08-19,PLT01,2725.2,1479.9,0,40.8,alternativo,2426.7
2024-08-20,PLT01,2219.4,1502.1,0,52.7,alternativo,2047.3
