timestamp,sensor_temp,sensor_vibration,sensor_pressure,sensor_co2,sensor_humidity,output_efficiency,anomaly
2024-05-31 00:00:00,759.15,2.22,5.21,400.2,61.4,91.0,0
2024-05-31 01:00:00,756.59,2.76,6.03,408.8,57.9,98.2,0
2024-05-31 02:00:00,848.73,4.49,4.68,706.3,49.7,89.1,1
2024-05-31 03:00:00,759.68,2.17,4.51,439.9,59.1,95.9,0
2024-05-31 04:00:00,765.0,2.76,3.5,338.2,66.3,96.4,0
2024-05-31 05:00:00,747.48,3.3,4.45,423.6,54.2,94.4,0
2024-05-31 06:00:00,727.54,1.7,4.0,538.5,40.6,93.3,0
2024-05-31 07:00:00,786.91,3.1,4.12,594.9,65.7,93.2,0
2024-05-31 08:00:00,744.29,2.56,3.83,290.0,70.3,87.8,0
2024-05-31 09:00:00,781.67,2.87,4.91,482.2,63.5,95.4,0
2024-05-31 10:00:00,749.69,2.86,4.53,336.9,47.3,90.8,0
2024-05-31 11:00:00,757.19,3.31,5.11,286.9,46.1,97.8,0
2024-05-31 12:00:00,750.8,2.49,3.95,457.8,74.2,95.2,0
2024-05-31 13:00:00,721.14,2.8,4.53,458.0,58.2,99.3,0
2024-05-31 14:00:00,856.54,4.23,6.8,669.7,59.3,82.4,1
2024-05-31 15:00:00,725.01,3.5,3.78,357.6,48.8,97.6,0
2024-05-31 16:00:00,790.52,2.13,4.69,350.4,78.0,89.9,0
2024-05-31 17:00:00,766.41,2.79,4.43,403.0,56.4,93.8,0
2024-05-31 18:00:00,722.28,2.71,5.45,277.7,59.1,94.4,0
2024-05-31 19:00:00,737.19,3.44,5.58,368.8,61.6,100.3,0
2024-05-31 20:00:00,731.15,2.19,4.18,397.5,48.4,94.5,0
2024-05-31 21:00:00,758.28,1.75,4.75,480.6,36.2,95.7,0
2024-05-31 22:00:00,767.66,3.6,4.38,552.6,56.9,91.9,0
2024-05-31 23:00:00,764.48,2.08,4.65,299.5,54.8,91.1,0
2024-06-01 00:00:00,780.24,1.93,4.22,300.1,56.7,97.2,0
2024-06-01 01:00:00,800.68,2.78,4.66,388.5,57.3,93.8,0
2024-06-01 02:00:00,731.76,2.1,4.11,394.2,56.8,96.9,0
2024-06-01 03:00:00,731.1,1.43,4.79,614.3,55.9,97.4,0
2024-06-01 04:00:00,745.7,2.82,4.27,507.4,61.6,96.6,0
2024-06-01 05:00:00,749.97,2.17,4.88,341.1,56.2,94.3,0
2024-06-01 06:00:00,748.95,2.67,6.07,389.3,49.5,96.3,0
2024-06-01 07:00:00,731.87,2.41,4.17,398.4,56.5,96.3,0
2024-06-01 08:00:00,716.88,2.23,2.76,437.1,58.8,91.5,0
2024-06-01 09:00:00,784.65,3.22,4.41,533.6,57.4,93.2,0
2024-06-01 10:00:00,742.07,2.35,4.32,356.5,58.9,92.1,0
2024-06-01 11:00:00,756.79,2.57,4.82,509.4,65.4,89.0,0
2024-06-01 12:00:00,732.3,2.46,4.47,493.2,50.9,90.1,0
2024-06-01 13:00:00,764.54,2.97,4.19,204.7,50.5,95.8,0
2024-06-01 14:00:00,733.32,2.55,3.33,579.5,44.1,94.2,0
2024-06-01 15:00:00,750.01,3.48,3.7,283.4,70.5,93.6,0
2024-06-01 16:00:00,776.75,1.98,3.56,380.7,55.1,97.7,0
2024-06-01 17:00:00,768.62,2.73,5.35,539.3,56.3,91.6,0
2024-06-01 18:00:00,755.33,3.48,4.4,420.7,58.3,92.7,0
2024-06-01 19:00:00,726.14,2.05,5.29,360.5,45.6,96.3,0
2024-06-01 20:00:00,759.27,2.19,4.06,484.3,62.0,99.1,0
2024-06-01 21:00:00,746.97,2.44,5.37,458.3,60.5,102.2,0
2024-06-01 22:00:00,884.54,5.64,6.37,696.7,52.5,82.2,1
2024-06-01 23:00:00,732.29,1.53,5.82,324.6,53.8,93.4,0
2024-06-02 00:00:00,726.27,3.05,4.73,434.9,64.2,91.4,0
2024-06-02 01:00:00,763.51,2.96,4.96,508.0,57.7,89.7,0
2024-06-02 02:00:00,751.61,2.52,5.05,460.0,56.3,89.0,0
2024-06-02 03:00:00,759.81,3.47,4.69,623.1,61.6,88.0,0
2024-06-02 04:00:00,760.21,3.05,4.16,452.0,53.5,94.3,0
2024-06-02 05:00:00,749.28,2.12,4.19,460.9,72.5,95.8,0
2024-06-02 06:00:00,743.06,1.98,4.72,530.7,41.6,90.4,0
2024-06-02 07:00:00,768.21,2.37,5.61,381.3,58.2,97.8,0
2024-06-02 08:00:00,787.71,2.17,5.27,367.3,57.7,91.3,0
2024-06-02 09:00:00,742.06,2.67,5.5,575.1,76.4,98.8,0
2024-06-02 10:00:00,740.83,3.01,4.54,519.2,67.0,92.0,0
2024-06-02 11:00:00,755.33,3.35,3.84,397.8,48.9,87.6,0
2024-06-02 12:00:00,763.29,1.85,4.66,459.9,74.4,90.5,0
2024-06-02 13:00:00,748.92,2.06,4.32,501.2,74.6,100.0,0
2024-06-02 14:00:00,724.84,1.95,4.22,475.6,37.2,95.0,0
2024-06-02 15:00:00,744.05,1.72,4.86,370.5,44.4,83.9,0
2024-06-02 16:00:00,757.71,2.37,2.77,400.5,64.9,97.2,0
2024-06-02 17:00:00,733.23,2.73,5.02,512.3,55.0,93.6,0
